id,area_ha,perimeter_m,compactness,width_m,height_m,cause
269,0.0015,20.0,0.4712388980384689,6.0,4.0,indetermine
368,0.0015,20.0,0.4712388980384689,5.0,5.0,indetermine
98,0.0014,18.0,0.5429913228426803,4.0,5.0,indetermine
205,0.0014,26.0,0.26025027899560416,5.0,7.0,indetermine
138,0.0013,22.0,0.33752648344353153,7.0,3.0,indetermine
164,0.0013,20.0,0.4084070449666731,5.0,5.0,indetermine
257,0.0013,22.0,0.33752648344353153,6.0,5.0,indetermine
128,0.0012,16.0,0.5890486225480862,4.0,4.0,indetermine
177,0.0012,20.0,0.37699111843077515,4.0,6.0,indetermine
29,0.0011,24.0,0.23998277214922029,5.0,6.0,indetermine
103,0.0011,20.0,0.34557519189487723,7.0,3.0,indetermine
186,0.0011,16.0,0.5399612373357456,3.0,5.0,indetermine
307,0.0011,16.0,0.5399612373357456,3.0,5.0,indetermine
50,0.001,18.0,0.3878509448876288,5.0,4.0,indetermine
66,0.001,16.0,0.4908738521234052,4.0,4.0,indetermine
167,0.001,18.0,0.3878509448876288,3.0,6.0,indetermine
230,0.001,18.0,0.3878509448876288,5.0,3.0,indetermine
265,0.001,16.0,0.4908738521234052,4.0,4.0,indetermine
4,0.0009,16.0,0.44178646691106466,3.0,5.0,indetermine
57,0.0009,16.0,0.44178646691106466,3.0,5.0,indetermine
281,0.0009,18.0,0.3490658503988659,4.0,5.0,indetermine
292,0.0009,16.0,0.44178646691106466,5.0,3.0,indetermine
33,0.0008,18.0,0.310280755910103,2.0,6.0,indetermine
41,0.0008,12.0,0.6981317007977318,3.0,3.0,indetermine
77,0.0008,18.0,0.310280755910103,4.0,4.0,indetermine
135,0.0008,16.0,0.39269908169872414,2.0,5.0,indetermine
296,0.0008,16.0,0.39269908169872414,4.0,4.0,indetermine
78,0.0007,12.0,0.6108652381980153,4.0,2.0,indetermine
108,0.0007,16.0,0.3436116964863836,4.0,4.0,indetermine
124,0.0007,14.0,0.4487989505128276,4.0,3.0,indetermine
201,0.0007,14.0,0.4487989505128276,4.0,3.0,indetermine
315,0.0007,16.0,0.3436116964863836,3.0,5.0,indetermine
337,0.0007,16.0,0.3436116964863836,3.0,5.0,indetermine
357,0.0007,14.0,0.4487989505128276,3.0,4.0,indetermine
42,0.0006,10.0,0.7539822368615503,3.0,2.0,indetermine
43,0.0006,12.0,0.5235987755982988,3.0,3.0,indetermine
53,0.0006,14.0,0.38468481472528077,4.0,3.0,indetermine
62,0.0006,12.0,0.5235987755982988,3.0,3.0,indetermine
96,0.0006,14.0,0.38468481472528077,3.0,4.0,indetermine
99,0.0006,12.0,0.5235987755982988,3.0,3.0,indetermine
112,0.0006,12.0,0.5235987755982988,2.0,4.0,indetermine
200,0.0006,14.0,0.38468481472528077,4.0,3.0,indetermine
216,0.0006,14.0,0.38468481472528077,3.0,4.0,indetermine
226,0.0006,12.0,0.5235987755982988,3.0,3.0,indetermine
266,0.0006,10.0,0.7539822368615503,3.0,2.0,indetermine
286,0.0006,12.0,0.5235987755982988,2.0,4.0,indetermine
321,0.0006,12.0,0.5235987755982988,4.0,2.0,indetermine
352,0.0006,14.0,0.38468481472528077,5.0,2.0,indetermine
358,0.0006,12.0,0.5235987755982988,2.0,4.0,indetermine
365,0.0006,14.0,0.38468481472528077,4.0,3.0,indetermine
3,0.0005,12.0,0.4363323129985824,3.0,3.0,indetermine
22,0.0005,12.0,0.4363323129985824,3.0,3.0,indetermine
